;TYPE;Model;Voltage_V;Capacity_mAh;Weight_g;Energy_density_Wh_kg;Imax_A;Pmax_W_kg;Energy_J;Dominated
16;KOKAM;KOKAM SLPB526495;3.7;3300;67;182.238806;9.9;546.7164179;43956;0
18;KOKAM;KOKAM SLPB776495;3.7;5300;102;192.254902;15.9;576.7647059;70596;0
19;KOKAM;KOKAM SLPB68106100;3.7;8000;160;185;24;555;106560;0
21;KOKAM;KOKAM SLPB98106100;3.7;10000;210;176.1904762;30;528.5714286;133200;0
22;KOKAM;KOKAM SLPB7570270;3.7;15000;317;175.0788644;45;525.2365931;199800;0
23;KOKAM;KOKAM SLPB125255255;3.7;87000;1780;180.8426966;261;542.5280899;1158840;0
24;KOKAM;KOKAM SLPB70460330;3.7;100000;2070;178.7439614;300;536.2318841;1332000;0
25;KOKAM;KOKAM SLPB120460330;3.7;150000;3210;172.8971963;450;518.6915888;1998000;0
26;KOKAM;KOKAM SLPB140460330;3.7;200000;4180;177.0334928;600;531.1004785;2664000;0
27;KOKAM;KOKAM SLPB160460330H;3.7;200000;4580;161.5720524;600;484.7161572;2664000;0
28;KOKAM;KOKAM SLPB160460330;3.7;240000;4780;185.7740586;720;557.3221757;3196800;0
29;ProLiteX;TP500-2SPX25J;7.4;500;30;123.3333333;25;6166.666667;13320;0
31;ProLiteX;TP750-2SPX25J;7.4;750;39;142.3076923;37.5;7115.384615;19980;0
33;ProLiteX;TP910-2SPX25J;7.4;910;47;143.2765957;45.5;7163.829787;24242.4;0
35;ProLiteX;TP1350-2SPX25J;7.4;1350;61;163.7704918;67.5;8188.52459;35964;0
37;ProLiteX;TP1350-2SPX25;7.4;1350;64;156.09375;67.5;7804.6875;35964;0
107;RAMPAGE;TP325-1SR70J;3.7;325;12;100.2083333;45.5;14029.16667;4329;0
108;RAMPAGE;TP325-2SR70B;7.4;325;23;104.5652174;45.5;14639.13043;8658;0
130;RAMPAGE;TP6600-3SR70;11.1;6600;527;139.0132827;924;19461.85958;263736;0
