;TYPE;Model;Kv_rpm_v;Pole (number);Io (A);r_omn;weight_g;Imax (A);No s;Voltage;Inom_max (A);Eta_max (%);Kt_Nm_A;Tnom_Nm;Rend nom;Icc;I opt;Eta opt;Cf_Nm;Tmax_Nm;Estim -->;M*;R*;Cf*;Dominated
2;AXI;AXI 2203/40VPP GOLD LINE;2000.0;14.0;0.5;0.245;17.5;9.0;2.0;7.4;7.5;75.0;0.00477;0.033;70.0;30.2;3.89;75.92;0.0023899999999999998;0.042971835;;18.8355;0.2374;0.0018768629999999999;0
3;AXI;AXI 2203/46 GOLD LINE;1720.0;14.0;0.5;0.285;18.5;8.5;2.0;7.4;7.0;75.0;0.00555;0.036000000000000004;68.0;25.96;3.6;74.17;0.00278;0.047191290999999996;;20.4101;0.2808;0.002033759;0
4;AXI;AXI 2204/54 GOLD LINE;1400.0;14.0;0.35;0.32;25.9;7.5;3.0;11.1;6.0;77.0;0.0068200000000000005;0.039;78.0;34.69;3.48;80.92;0.0023899999999999998;0.051156945999999995;;21.8716;0.3777;0.002179396;0
5;AXI;AXI 2208/26 GOLD LINE;1420.0;14.0;0.6;0.155;45.0;11.0;3.0;11.1;9.0;82.0;0.00672;0.055999999999999994;82.0;71.61;6.55;82.53;0.00403;0.07397342400000001;;30.0034;0.2168;0.0029896859999999996;0
6;AXI;AXI 2208/34 GOLD LINE;1100.0;14.0;0.35;0.26;45.0;8.0;3.0;11.1;7.0;81.0;0.00868;0.057999999999999996;79.0;42.69;3.87;82.71;0.0030399999999999997;0.06944943;;28.4236;0.3953;0.002832265;0
7;AXI;AXI 2208/20 GOLD LINE;1820.0;14.0;0.8;0.08900000000000001;45.0;16.0;3.0;11.1;12.0;82.0;0.00525;0.059000000000000004;84.0;124.72;9.99;84.62;0.0042;0.08394986;;33.44;0.1101;0.00333212;0
11;AXI;AXI 2212/20 GOLD LINE;1150.0;14.0;0.7;0.135;57.0;16.0;3.0;11.1;12.0;82.0;0.0083;0.094;80.0;82.22;7.59;82.4;0.00581;0.132859779;;49.563;0.1432;0.004938695999999999;0
12;AXI;AXI 2212/26 GOLD LINE;920.0;14.0;0.45;0.21;57.0;12.0;3.0;11.1;10.0;80.0;0.01038;0.099;77.0;52.86;4.88;82.4;0.0046700000000000005;0.12455604199999999;;46.8957;0.2453;0.004672913;0
13;AXI;AXI 2212/12 GOLD LINE;1950.0;14.0;1.2;0.045;57.0;28.0;3.0;11.1;22.0;82.0;0.0049;0.102;86.0;246.67;17.2;86.54;0.00588;0.137118105;;50.9215;0.0476;0.005074067;0
14;AXI;AXI 2212/34 GOLD LINE;710.0;14.0;0.4;0.345;57.0;10.0;3.0;11.1;8.0;78.0;0.01345;0.102;71.0;32.17;3.59;78.94;0.005379999999999999;0.134497135;;50.0861;0.3691;0.00499082;0
