TYPE;Model;Voltage_V;Capacity_mAh;Weight_g;Energy_density_Wh_kg;Imax_A;Pmax_W_kg;Energy_J
TATTU;TATTU;11.1;1300;119;121.2605042;117;10913.44538;51948
TATTU;TATTU;11.1;1550;128;134.4140625;139.5;12097.26563;61938
TATTU;TATTU;11.1;1800;156;128.0769231;162;11526.92308;71928
TATTU;TATTU;11.1;2300;179;142.6256983;207;12836.31285;91908
TATTU;TATTU;11.1;1050;85;137.1176471;94.5;12340.58824;41958
TATTU;TATTU;14.8;1050;120;129.5;94.5;11655;55944
TATTU;TATTU;14.8;1500;178;124.7191011;135;11224.7191;79920
TATTU;TATTU;14.8;1800;202;131.8811881;162;11869.30693;95904
TATTU;TATTU;14.8;2300;224;151.9642857;207;13676.78571;122544
TATTU;TATTU;14.8;3700;240;228.1666667;333;20535;197136
TATTU;TATTU;14.8;1300;154;124.9350649;117;11244.15584;69264
GENS ACE;GENS ACE;22.2;3300;506;144.7826087;396;17373.91304;263736
GENS ACE;GENS ACE;22.2;4000;636;139.6226415;480;16754.71698;319680
GENS ACE;GENS ACE;22.2;5000;755;147.0198675;600;17642.38411;399600
GENS ACE;GENS ACE;22.2;5500;828;147.4637681;660;17695.65217;439560
GENS ACE;GENS ACE;22.2;6200;876;157.1232877;744;18854.79452;495504
KOKAM;KOKAM SLPB526495;3.7;3300;67;182.238806;9.9;546.7164179;43956
KOKAM;KOKAM SLPB050106100;3.7;5000;120;154.1666667;25;770.8333333;66600
KOKAM;KOKAM SLPB776495;3.7;5300;102;192.254902;15.9;576.7647059;70596
KOKAM;KOKAM SLPB68106100;3.7;8000;160;185;24;555;106560
KOKAM;KOKAM SLPB7570180;3.7;9600;215;165.2093023;28.8;495.627907;127872
KOKAM;KOKAM SLPB98106100;3.7;10000;210;176.1904762;30;528.5714286;133200
KOKAM;KOKAM SLPB7570270;3.7;15000;317;175.0788644;45;525.2365931;199800
KOKAM;KOKAM SLPB125255255;3.7;87000;1780;180.8426966;261;542.5280899;1158840
KOKAM;KOKAM SLPB70460330;3.7;100000;2070;178.7439614;300;536.2318841;1332000
KOKAM;KOKAM SLPB120460330;3.7;150000;3210;172.8971963;450;518.6915888;1998000
KOKAM;KOKAM SLPB140460330;3.7;200000;4180;177.0334928;600;531.1004785;2664000
KOKAM;KOKAM SLPB160460330H;3.7;200000;4580;161.5720524;600;484.7161572;2664000
KOKAM;KOKAM SLPB160460330;3.7;240000;4780;185.7740586;720;557.3221757;3196800
