TYPE;Model;Kv_rpm_v;R_ohm;Mass_g;Imax_A;Voltage;Tnom_Nm
AXI;AXI 2203/RACE GOLD LINE;2300;0.22;18.5;9;11.1;0.029
AXI;AXI 2203/52 GOLD LINE;1525;0.39;18.5;7;7.4;0.032
AXI;AXI 2203/40VPP GOLD LINE;2000;0.245;17.5;9;7.4;0.033
AXI;AXI 2203/46 GOLD LINE;1720;0.285;18.5;8.5;7.4;0.036
AXI;AXI 2204/54 GOLD LINE;1400;0.32;25.9;7.5;11.1;0.039
AXI;AXI 2208/26 GOLD LINE;1420;0.155;45;11;11.1;0.056
AXI;AXI 2208/34 GOLD LINE;1100;0.26;45;8;11.1;0.058
AXI;AXI 2208/20 GOLD LINE;1820;0.089;45;16;11.1;0.059
AXI;AXI 2808/16 GOLD LINE;1820;0.075;76;25;11.1;0.068
AXI;AXI 2217/5H GOLD LINE;3000;0.039;68.5;34;11.1;0.08
AXI;AXI 2808/20 GOLD LINE;1490;0.105;76;22;11.1;0.088
AXI;AXI 2212/20 GOLD LINE;1150;0.135;57;16;11.1;0.094
AXI;AXI 2212/26 GOLD LINE;920;0.21;57;12;11.1;0.099
AXI;AXI 2212/12 GOLD LINE;1950;0.045;57;28;11.1;0.102
AXI;AXI 2212/34 GOLD LINE;710;0.345;57;10;11.1;0.102
AXI;AXI 2808/24 GOLD LINE;1190;0.115;76;22;11.1;0.112
AXI;AXI 2814/6D GOLD LINE;2850;0.022;106;55;11.1;0.136
AXI;AXI 2217/20 GOLD LINE;840;0.185;69.5;18;14.8;0.153
AXI;AXI 2217/16 GOLD LINE;1050;0.12;69.5;22;11.1;0.157
AXI;AXI 2814/12 GOLD LINE;1390;0.053;106;35;11.1;0.159
AXI;AXI 2814/10 GOLD LINE;1640;0.037;106;40;11.1;0.161
AXI;AXI 2814/16 GOLD LINE;1035;0.085;106;30;11.1;0.175
AXI;AXI 2814/20 GOLD LINE;840;0.145;106;25;14.8;0.185
AXI;AXI 2217/12 GOLD LINE;1380;0.061;69.5;30;11.1;0.188
AXI;AXI 2820/8 GOLD LINE;1500;0.026;151;55;11.1;0.215
AXI;AXI 2820/10 GOLD LINE;1200;0.039;151;42;14.8;0.22
AXI;AXI 2820/12 GOLD LINE;990;0.059;151;37;14.8;0.225
AXI;AXI 2826/6 GOLD LINE;1500;0.025;181;65;11.1;0.264
AXI;AXI 2826/8 GOLD LINE;1130;0.03;181;55;11.1;0.288
AXI;AXI 2826/10 GOLD LINE;920;0.042;181;42;18.5;0.294
AXI;AXI 2826/12 GOLD LINE;760;0.062;181;37;18.5;0.298
AXI;AXI 2820/14 GOLD LINE;860;0.078;151;36;14.8;0.314
AXI;AXI 4120/14 GOLD LINE;660;0.041;320;55;18.5;0.55
AXI;AXI 4120/18 GOLD LINE;515;0.07;320;55;25.9;0.714
AXI;AXI 4120/20 GOLD LINE;465;0.082;320;52;22.2;0.729
AXI;AXI 4130/16 GOLD LINE;385;0.063;409;60;29.6;0.96
AXI;AXI 4130/20 GOLD LINE;305;0.099;409;55;29.6;1.215
AXI;AXI 5320/28 GOLD LINE;249;0.057;495;65;37;1.327
AXI;AXI 5320/18 GOLD LINE;370;0.023;495;78;22.2;1.383
AXI;AXI 5320/24 GOLD LINE;206;0.084;495;50;37;1.432
AXI;AXI 5330/24 GOLD LINE;197;0.057;652;65;37;1.769
AXI;AXI 5325/16 GOLD LINE;350;0.03;575;85;22.2;1.853
AXI;AXI 5325/16 GOLD LINE;350;0.026;575;85;22.2;1.853
AXI;AXI 5325/18 GOLD LINE;308;0.032;575;80;29.6;1.963
AXI;AXI 5330/18 GOLD LINE;259;0.032;652;80;37;2.138
AXI;AXI 5325/20 GOLD LINE;280;0.037;575;78;29.6;2.149
AXI;AXI 5325/24 GOLD LINE;232;0.045;575;75;37;2.194
AXI;AXI 5345/18HD GOLD LINE;171;0.042;995;75;44.4;3.429
SCORPION;Scorpion S-1804-1650KV;1650;0.4;12;5;33.3;0.027
SCORPION;Scorpion S-1805-2250KV;2250;0.4;16;7;33.3;0.029
SCORPION;?Scorpion SII-2205-1900KV (V2);1900;0.128;35.4;12;44.4;0.057
SCORPION;?Scorpion SII-2205-1585KV (V2);1585;0.182;35.4;10;44.4;0.057
SCORPION;Scorpion SII-2205-1490KV (V2);1490;0.188;35.4;10;44.4;0.061
SCORPION;?Scorpion SII-2208-1100KV (V2);1100;0.17;45;12;44.4;0.101
SCORPION;?Scorpion SII-2208-1280KV (V2);1280;0.15;45;14;44.4;0.101
SCORPION;?Scorpion SII-2212-885KV (V2);885;0.151;58;13;44.4;0.136
SCORPION;?Scorpion SII-2212-960KV (V2);960;0.139;58;13;44.4;0.124
SCORPION;?Scorpion SII-2212-1070KV (V2);1070;0.091;58;15;44.4;0.129
SCORPION;?Scorpion SII-2212-1850KV (V2);1850;0.032;58;22;44.4;0.107
SCORPION;?Scorpion SII-2212-1400kv (V2);1400;0.091;58;25;44.4;0.166
SCORPION;?Scorpion SII-2215-900KV (V2);900;0.142;68.6;16;44.4;0.164
